,Дата,Час,DDPP,PRLA,GLA,LSA,SMF
0,2011-03-24,22,16967,19452,2486,0,119.9
1,2011-03-24,21,18502,19400,897,0,159.76
2,2011-03-24,20,18718,19345,628,0,159.31
3,2011-03-24,19,18825,19355,628,0,159.31
4,2011-03-24,18,18749,19447,697,0,159.76
5,2011-03-24,17,18654,19457,802,0,159.76
6,2011-03-24,16,18790,17444,0,1346,108.46
7,2011-03-24,15,19144,16135,0,3009,95.0
8,2011-03-24,14,19137,16171,0,2966,95.0
9,2011-03-24,13,19145,16482,0,2663,95.0
10,2011-03-24,12,19022,16686,0,2336,95.01
11,2011-03-24,11,19053,16424,0,2629,95.0
12,2011-03-24,10,19081,15743,0,3338,58.7
13,2011-03-24,9,19071,14665,0,4406,50.46
14,2011-03-24,8,18866,13260,0,5606,47.75
15,2011-03-24,7,18597,12433,0,6164,47.56
16,2011-03-24,6,18617,12633,0,5984,47.56
17,2011-03-24,5,18615,12549,0,6066,50.77
18,2011-03-24,4,18617,12525,0,6092,50.77
19,2011-03-24,3,18614,12832,0,5782,58.7
20,2011-03-24,2,18618,13426,0,5258,65.28
21,2011-03-24,1,18326,14236,0,4176,66.71
22,2011-03-24,0,18219,15547,0,2672,95.0
23,2011-03-23,23,18427,16684,0,1743,99.0
24,2011-03-23,22,18352,17161,0,1191,100.0
25,2011-03-23,21,18655,17009,0,1646,105.03
26,2011-03-23,20,19049,16950,0,2137,100.01
27,2011-03-23,19,19049,17256,0,1793,105.01
28,2011-03-23,18,19091,17450,0,1641,105.03
29,2011-03-23,17,19049,17559,0,1490,108.46
30,2011-03-23,16,19287,16050,0,3247,90.0
31,2011-03-23,15,19134,14841,0,4293,50.46
32,2011-03-23,14,19126,14876,0,4250,50.46
33,2011-03-23,13,19136,15185,0,3951,50.46
34,2011-03-23,12,19124,15591,0,3533,58.7
35,2011-03-23,11,19156,15530,0,3626,58.7
36,2011-03-23,10,19183,15251,0,3932,50.46
37,2011-03-23,9,19045,14074,0,5005,49.6
38,2011-03-23,8,18868,12465,0,6401,47.56
39,2011-03-23,7,18780,11435,0,7359,46.67
40,2011-03-23,6,18823,11735,0,7096,47.27
41,2011-03-23,5,18821,11654,0,7167,50.0
42,2011-03-23,4,18823,11632,0,7236,50.0
43,2011-03-23,3,18821,11942,0,6877,50.46
44,2011-03-23,2,18821,12434,0,6383,50.46
45,2011-03-23,1,18530,13241,0,5285,65.68
46,2011-03-23,0,18425,14548,0,3873,66.81
47,2011-03-22,23,18628,16184,0,2444,95.0
48,2011-03-22,22,18797,16860,0,1937,98.0
49,2011-03-22,21,19777,16708,0,3069,90.04
50,2011-03-22,20,20165,16447,0,3718,50.46
51,2011-03-22,19,20315,16854,0,3461,55.0
52,2011-03-22,18,20346,16948,0,3398,58.7
53,2011-03-22,17,20285,16756,0,3529,55.0
54,2011-03-22,16,20111,15446,0,4665,50.08
55,2011-03-22,15,19393,14035,0,5358,48.25
56,2011-03-22,14,19256,14171,0,5103,49.6
57,2011-03-22,13,19249,14681,0,4568,50.46
58,2011-03-22,12,19236,15086,0,4150,50.46
59,2011-03-22,11,19235,15135,0,4100,50.46
60,2011-03-22,10,19278,14852,0,4426,50.46
61,2011-03-22,9,19290,13646,0,5644,47.75
62,2011-03-22,8,19132,12372,0,6934,47.46
63,2011-03-22,7,18893,11544,0,7349,39.15
64,2011-03-22,6,18863,12042,0,6891,47.46
65,2011-03-22,5,18887,12160,0,6727,50.46
66,2011-03-22,4,18888,12037,0,6851,50.46
67,2011-03-22,3,18888,12043,0,6845,50.46
68,2011-03-22,2,18866,12533,0,6333,50.46
69,2011-03-22,1,18608,13642,0,5043,66.45
70,2011-03-22,0,18471,14747,0,3725,66.81
71,2011-03-21,23,19100,15788,0,3323,69.44
72,2011-03-21,22,19312,16369,0,2943,90.03
73,2011-03-21,21,19195,16115,0,3080,70.0
74,2011-03-21,20,19585,15955,0,3630,55.0
75,2011-03-21,19,19629,16164,0,3465,55.0
76,2011-03-21,18,19664,16357,0,3307,58.7
77,2011-03-21,17,19604,16165,0,3439,58.7
78,2011-03-21,16,19659,15051,0,4608,50.0
79,2011-03-21,15,19338,13646,0,5797,47.65
80,2011-03-21,14,18945,13381,0,5564,47.56
81,2011-03-21,13,18953,13395,0,5574,47.65
82,2011-03-21,12,18677,13599,0,5078,47.75
83,2011-03-21,11,18534,13638,0,4896,48.25
84,2011-03-21,10,18576,13861,0,4728,49.6
85,2011-03-21,9,18566,13747,0,4819,48.79
86,2011-03-21,8,18341,13658,0,4683,50.08
87,2011-03-21,7,18477,13622,0,4855,50.08
88,2011-03-21,6,18507,12819,0,5823,47.65
89,2011-03-21,5,18709,12037,0,6672,50.46
90,2011-03-21,4,18714,11718,0,7017,50.0
91,2011-03-21,3,18715,12027,0,6688,50.46
92,2011-03-21,2,18691,12626,0,6065,50.46
93,2011-03-21,1,18517,13736,0,4781,66.28
94,2011-03-21,0,18730,15742,0,2988,90.02
95,2011-03-20,23,18545,19220,853,0,110.0
96,2011-03-20,22,18531,20471,1966,0,133.86
97,2011-03-20,21,20242,20120,0,122,121.0
98,2011-03-20,20,20754,20775,20,0,130.0
99,2011-03-20,19,20767,20859,310,0,135.0
100,2011-03-20,18,20608,21055,470,0,142.9
101,2011-03-20,17,20470,20881,427,0,140.0
102,2011-03-20,16,20714,19531,0,1183,108.46
103,2011-03-20,15,20841,18350,0,2491,48.25
104,2011-03-20,14,20831,18397,0,2434,48.25
105,2011-03-20,13,20693,19008,0,1685,50.08
106,2011-03-20,12,19805,19711,0,94,120.0
107,2011-03-20,11,19465,20681,1242,0,162.61
108,2011-03-20,10,19499,20769,1397,0,162.77
109,2011-03-20,9,19549,20176,654,0,149.9
110,2011-03-20,8,20029,18599,0,1430,50.46
111,2011-03-20,7,19527,16344,0,3058,48.72
112,2011-03-20,6,19441,16057,0,3246,48.25
113,2011-03-20,5,19016,15802,0,3117,66.45
114,2011-03-20,4,19023,16001,0,2820,66.55
115,2011-03-20,3,18934,16215,0,2475,69.44
116,2011-03-20,2,17783,16713,0,805,99.0
117,2011-03-20,1,16412,17806,1551,0,130.0
118,2011-03-20,0,15689,19495,4000,0,139.9
119,2011-03-19,23,18790,22382,3661,0,155.0
120,2011-03-19,22,18914,23630,4715,0,170.0
121,2011-03-19,21,18926,23276,4430,0,180.0
122,2011-03-19,20,19316,23722,4425,0,180.0
123,2011-03-19,19,19484,24130,4689,0,180.0
124,2011-03-19,18,19398,25125,5726,0,187.66
125,2011-03-19,17,19362,25909,6546,0,188.67
126,2011-03-19,16,19451,25292,5840,0,187.01
127,2011-03-19,15,19440,23909,4469,0,170.0
128,2011-03-19,14,19430,24055,4643,0,170.0
129,2011-03-19,13,18977,23892,4914,0,179.66
130,2011-03-19,12,18789,23499,4737,0,173.46
131,2011-03-19,11,18722,24594,5871,0,187.01
132,2011-03-19,10,18803,24309,5516,0,185.0
133,2011-03-19,9,19001,24015,5031,0,180.0
134,2011-03-19,8,18701,22120,3687,0,167.0
135,2011-03-19,7,16079,19086,3006,0,164.67
136,2011-03-19,6,16412,18097,1684,0,163.52
137,2011-03-19,5,16057,17749,1804,0,134.0
138,2011-03-19,4,16097,17434,1363,0,133.0
139,2011-03-19,3,16092,17533,1440,0,133.79
140,2011-03-19,2,15945,18024,2095,0,134.13
141,2011-03-19,1,15704,18927,3222,0,134.54
142,2011-03-19,0,15679,20215,4579,0,155.0
143,2011-03-18,23,18968,22390,3874,0,155.0
144,2011-03-18,22,19157,23551,4393,0,167.16
145,2011-03-18,21,18942,23206,4330,0,180.0
146,2011-03-18,20,19479,23646,4183,0,179.0
147,2011-03-18,19,19354,24152,4831,0,185.0
148,2011-03-18,18,19233,25148,5923,0,187.73
149,2011-03-18,17,19193,26038,6844,0,190.22
150,2011-03-18,16,19275,25285,6009,0,187.12
151,2011-03-18,15,18942,23923,5031,0,185.0
152,2011-03-18,14,18939,24072,5179,0,185.0
153,2011-03-18,13,18936,23908,5033,0,185.0
154,2011-03-18,12,18733,23306,4572,0,179.66
155,2011-03-18,11,18768,24512,5743,0,187.01
156,2011-03-18,10,18853,24120,5364,0,185.0
157,2011-03-18,9,18750,23827,5166,0,185.0
158,2011-03-18,8,18263,22052,3830,0,168.0
